Animal_ID,OpenField_distance,OpenField_velocity,OpenField_center_sec
309_39week,3286.9,5.47963,148.72
310_39week,2442.47,4.07622,163.56
311_39week,2224.34,3.70279,153.04
312_39week,2847.04,4.73938,279.84
313_39week,2804.67,4.66078,193.4
314_39week,2506.52,4.17308,143.68
315_39week,2465.63,4.10091,203.96
316_39week,3290.19,5.47416,141.76
317_39week,2747.41,4.57719,277.08
318_39week,2503.82,4.17304,319.8
319_39week,2592.62,4.32103,177.96
320_39week,2494.42,4.15737,159.28
321_39week,2660.16,4.41857,170.64
322_39week,2531.08,4.2137,191.72
323_39week,3393.62,5.64025,107.16
324_39week,3202.51,5.29655,189.88
325_39week,2718.65,4.53078,150.6
326_39week,3529.23,5.84001,144.8
327_39week,3224.7,5.35771,240.92
328_39week,2742.97,4.53713,158.64
329_39week,2397.95,3.99207,196.28
330_39week,3495.22,5.82654,196.64
331_39week,2606.22,4.33273,261.08
332_39week,2867.1,4.77086,237.52
333_39week,3128.81,5.20878,150.48
334_39week,1948.76,3.24491,118
335_39week,3368.22,5.60174,151.28
336_39week,2963.24,4.93315,200.16
337_39week,3219.31,5.32364,174.92
338_39week,2384.71,3.96236,195.48
339_39week,3029.95,5.0442,203.12
340_39week,4776.41,7.95273,155.64
341_39week,2547.62,4.24263,192.44
342_39week,3273.31,5.45007,247.2
343_39week,2385.75,3.97359,178.88
344_39week,2865.62,4.76429,137.92
345_39week,2694.89,4.48609,151.36
346_39week,3542.4,5.85908,135.24
347_39week,3406.15,5.66068,118.8
348_39week,3779.78,6.24716,175.36
349_39week,2974.49,4.96078,158.56
350_39week,2649.69,4.4247,209.96
351_39week,2879.32,4.78706,221.48
352_39week,3421.59,5.70037,230.24
353_39week,2347.34,3.9078,117.16
354_39week,2263.25,3.76932,202.84
355_39week,3654.87,6.08536,205.44
356_39week,2252.24,3.74873,70.88
357_39week,3458.39,5.72657,173.84
358_39week,3014.34,5.02022,65.04
359_39week,3259.21,5.42948,197.6
360_39week,3000.5,4.98621,126.32
361_39week,3001.7,5.00117,179.08
362_39week,2748.71,4.56869,114.4
363_39week,2819.19,4.69364,126.24
364_39week,3003.68,5.01851,90.96
365_39week,3405.82,5.69041,180.88
366_39week,3785.39,6.27594,121.28
367_39week,3207.04,5.34115,91.4
368_39week,2534.09,4.19552,298.4
369_39week,2994.42,4.98173,150.88
370_39week,2896.12,4.79744,152.8
371_39week,3207.08,5.33945,139.28
372_39week,3695.08,6.10716,211.16
374_39week,4044.33,6.69901,167.52
375_39week,2192.48,3.65438,197
376_39week,3332.9,5.52171,228.56
377_39week,2909.72,4.82829,167.16
378_39week,2445.43,4.03723,183.44
379_39week,2276.76,3.78426,141.08
380_39week,2847.05,4.73498,112.24
381_39week,2243.22,3.71025,191.64
382_39week,2384.51,3.97022,365.2
383_39week,3311.79,5.47911,170.56
384_39week,3327.88,5.51961,67.44
385_39week,1916.76,3.1684,59.56
386_39week,3423.69,5.67927,130.6
387_39week,2889.74,4.8095,113.08
388_39week,3576.03,5.93394,243.16
389_39week,2642.98,4.39763,102.04
390_39week,2860.68,4.73434,309.44
391_39week,2587.17,4.29734,264.28
392_39week,4402.43,7.29216,117.12
393_39week,2132.5,3.54849,74.92
394_39week,2447.61,4.05394,127.56
395_39week,2946.17,4.89918,87.92
396_39week,3182.65,5.27139,218
397_39week,2603.26,4.33096,115.32
398_39week,3165.6,5.24175,119.68
399_39week,2934.58,4.88737,164.88
400_39week,3117.13,5.15568,139.92
401_39week,2877.8,4.79027,100.6
402_39week,3949.38,6.53439,139.24
403_39week,3348.26,5.56301,149.72
404_39week,2365.72,3.92091,223.52
405_39week,2027.22,3.36815,173.12
406_39week,2580.61,4.27763,120.04
407_39week,1947.31,3.24141,62.4
408_39week,2923.17,4.84129,260.36
409_39week,2940.7,4.89269,90.52
410_39week,3285.66,5.46772,106.24
411_39week,3155.02,5.21628,180.52
412_39week,3360.82,5.57276,90.04
413_39week,2989.99,4.97702,138.48
414_39week,3569.32,5.90947,134
415_39week,2300.95,3.82981,105.76
416_39week,3348.54,5.54761,93.76
417_39week,3472.43,5.77275,165.84
418_39week,2524.77,4.20459,224.16
419_39week,2928.77,4.85411,151.32
420_39week,2022.73,3.35377,121.6
421_39week,3030.33,5.04281,178.96
422_39week,2713.34,4.50033,139.72
423_39week,4038.38,6.71586,177.6
424_39week,3916.74,6.49198,190.16
425_39week,2889.41,4.80863,122.52
427_39week,2435.18,4.03656,93.76
428_39week,3950.35,6.56073,136.56